id,email,date_subscribed
31,testing@example.come7tZpyhA' OR 240=(SELECT 240 FROM PG_SLEEP(15))--,2026-01-28 22:11:14.946846
32,testing@example.com25eLjUMz') OR 714=(SELECT 714 FROM PG_SLEEP(15))--,2026-01-28 22:11:15.298324
33,testing@example.comZySlVFRK')) OR 431=(SELECT 431 FROM PG_SLEEP(15))--,2026-01-28 22:11:15.638416
34,@@0h0HR,2026-01-28 22:11:17.250607
35,testing@example.comYXCZ9Uvr,2026-01-28 22:12:23.429292
36,testing@example.com' AND 2*3*8=6*8 AND 'Jvz4'='Jvz4,2026-01-28 22:12:24.103172
37,"testing@example.com"" AND 2*3*8=6*8 AND ""nIO4""=""nIO4",2026-01-28 22:12:24.429584
38,testing@example.com%' AND 2*3*8=6*8 AND 'VNXN'!='VNXN%,2026-01-28 22:12:24.760277
39,-1 OR 2+65-65-1=0+0+0+1,2026-01-28 22:12:25.089850
40,-1 OR 3+65-65-1=0+0+0+1,2026-01-28 22:12:25.421923
41,testing@example.comrW0I8p9y'; waitfor delay '0:0:15' --,2026-01-28 22:12:28.000171
42,testing@example.compJmDvcvu' OR 678=(SELECT 678 FROM PG_SLEEP(15))--,2026-01-28 22:12:28.339848
43,testing@example.com4lPalsBJ') OR 248=(SELECT 248 FROM PG_SLEEP(15))--,2026-01-28 22:12:29.237024
44,testing@example.comO1Sb2AVN')) OR 206=(SELECT 206 FROM PG_SLEEP(15))--,2026-01-28 22:12:29.580129
45,@@cd8qq,2026-01-28 22:12:31.193141
46,testing@example.comJX1ru6jt,2026-01-28 22:46:49.715533
47,testing@example.com' AND 2*3*8=6*8 AND 'z7v7'='z7v7,2026-01-28 22:46:50.080482
48,"testing@example.com"" AND 2*3*8=6*8 AND ""5rWg""=""5rWg",2026-01-28 22:46:50.271527
49,testing@example.com%' AND 2*3*8=6*8 AND '3ChM'!='3ChM%,2026-01-28 22:46:50.491423
50,-1 OR 2+352-352-1=0+0+0+1,2026-01-28 22:46:50.683041
51,-1 OR 3+352-352-1=0+0+0+1,2026-01-28 22:46:50.875298
52,testing@example.comL8NIjsB5'; waitfor delay '0:0:15' --,2026-01-28 22:46:52.334200
53,testing@example.comUmVW33he' OR 397=(SELECT 397 FROM PG_SLEEP(15))--,2026-01-28 22:46:52.521205
54,testing@example.comVVoRm22i') OR 36=(SELECT 36 FROM PG_SLEEP(15))--,2026-01-28 22:46:52.723995
55,testing@example.comnb26PbuX')) OR 362=(SELECT 362 FROM PG_SLEEP(15))--,2026-01-28 22:46:52.917002
56,@@vzGvR,2026-01-28 22:46:53.834763
57,testing@example.comGn5l9D8H,2026-01-28 23:44:44.645515
58,testing@example.com' AND 2*3*8=6*8 AND 'olD3'='olD3,2026-01-28 23:44:45.093081
59,"testing@example.com"" AND 2*3*8=6*8 AND ""wh8k""=""wh8k",2026-01-28 23:44:45.328436
60,testing@example.com%' AND 2*3*8=6*8 AND '8IAx'!='8IAx%,2026-01-28 23:44:45.553957
61,-1 OR 2+526-526-1=0+0+0+1,2026-01-28 23:44:45.865062
62,-1 OR 3+526-526-1=0+0+0+1,2026-01-28 23:44:46.116491
63,testing@example.comaNC4LMBR'; waitfor delay '0:0:15' --,2026-01-28 23:44:47.866199
64,testing@example.comwnAGyvVl' OR 383=(SELECT 383 FROM PG_SLEEP(15))--,2026-01-28 23:44:48.097573
65,testing@example.comQILJqC4k') OR 588=(SELECT 588 FROM PG_SLEEP(15))--,2026-01-28 23:44:48.325038
66,testing@example.comzvcMdCut')) OR 676=(SELECT 676 FROM PG_SLEEP(15))--,2026-01-28 23:44:48.549583
67,@@Zablt,2026-01-28 23:44:49.788519
68,philohkimz63@gmail.com,2026-03-27 10:48:29.937895
69,fmmzvxej@immenseignite.info,2026-04-25 14:13:20.581994
70,diytfsjv@immenseignite.info,2026-04-25 14:13:20.599761
71,izykgnnr@immenseignite.info,2026-04-25 14:13:41.042490
72,xnsopzww@immenseignite.info,2026-05-18 02:30:44.486716
73,djqntqdz@immenseignite.info,2026-05-18 02:30:46.373755
74,jdlnwprw@immenseignite.info,2026-05-18 02:31:37.614115
